2019-4555,Khalid Rangaig,BS Statistics,2nd year,Male
2019-2683,Mark Jounyl Ursal,BS Statistics,2nd year,Male
2018-2834,Junaid Dimakuta,BS Civil Engineering,3rd year,Male
2020-3213,Marjan Dansal,BS Electrical Engineering,1st year,Male
2020-1235,Hassah Asgar,BS Metallurgical Engineering,1st year,Female
2019-0342,Cosain Balayo,2nd BS Metallurgical Engineering,2nd year,Male
2019-0421,Tahany Rascal,BS Mathematics,2nd year,Female
2020-3224,Wahid Elias,BS Microbiology,1st year,Male
2019-2932,Noor Elias,BS Chemical Engineering,2nd year,Male
2019-0214,Iyara Asgar,BS Zoology,2nd year,Female
2018-3242,Noraldin Madid,BS Civil Engineering,3rd year,Male
2020-3342,Blair blane,BS Mathematics,1st year,Female
2018-0832,Adrian Ates,BS Statistics,3rd year,Male
2018-1323,Alex Gonzaga,BS Civil Engineering,3rd year,Female
2019-2345,Wyatt Conor,BS Microbiology,2nd year,Male
2020-2346,Tyler Hero,BS Mathematics,1st year,Male
2019-2347,Tracy Mcgrady,BS Electronics Engineering,2nd year,Male
2018-2348,LeBron James,BS Electronics Engineering,3rd year,Male
2020-2349,Kyrie Irving,BS Chemical Engineering,1st year,Male
2019-2350,Quinn Cook,BS Zoology,2nd year,Male
2018-2351,Reese Tayag,BS Chemical Engineering,3rd year,Female
2019-2360,Madison Rae,BS Mathematics,2nd year,Female
2018-2361,Morgan Freeman,BS Metallurgical Engineering,3rd year,Male
2019-2362,Dana White,BS Chemical Engineering,2nd year,Female
2020-2363,Drew McYntyr,BS Statistics,1st year,Male
2019-2364,Lucy Gray,BS Mathematics,2nd year,Female
2020-2365,Devin Brook,BS Electronics Engineering,1st year,Male
2019-2366,Casey Brook,BS Zoology,2nd year,Female
2018-2367,Dakota James,BS Microbiology,3rd year,Female
2019-2368,Charlie Puth,BS Statistics,2nd year,Male
2018-2369,Robin Hood,BS Microbiology,3rd year,Male
2020-2370,Windson Tylor,BS Mathematics,1st year,Male
2018- 2371,Oligen Suan,BS Civil Engineering,3rd year,Female
2018-2372,Reyshel Omictin,BS Electrical Engineering,3rd year,Female
2018-2373,Hannah Tingcang,BS Metallurgical Engineering,3rd year,Female
2018-2374,Leah Simpson,BS Metallurgical Engineering,3rd year,Female
2020-2375,ared Padalecki,BS Mathematics,1st year,Male
2019-2376,Jensen Ackles,BS Microbiology,2nd year,Male
2020-2377,Jellieta Concerman,BS Chemical Engineering,1st year,Female
2020-2378,Lilith Ares,BS Zoology,1st year,Female
2020-2379,Genevieve Sirius,BS Civil Engineering,1st year,Female
2020-2380,Apple Calvin,BS Mathematics,1st year,Female
2018-2381,Mary Jean Shunt,BS Statistics,3rd year,Female
2018-2382,Shawn Bowman,BS Civil Engineering,3rd year,Male
2018-2383,John Monarch,BS Microbiology,3rd year,Male
2019-2384,Alison Hugh,BS Mathematics,2nd year,Female
2019-2385,Luke Merch,BS Electronics Engineering,2nd year,Male
2020-2386,Meridith Seagull,BS Statistics,1st year,Female
2020-2387,Gloria Peterse,BS Civil Engineering,1st year,Female
2020-2388,Helena Truce,BS Electrical Engineering,1st year,Female
